iter	Passed	Remaining
905	340892	599759
906	341255	599360
907	341646	599010
908	342001	598596
909	342343	598161
910	342668	597695
911	343066	597356
912	343438	596973
913	343820	596606
914	344166	596179
915	344534	595788
916	344899	595393
917	345233	594945
918	345576	594512
919	345897	594041
920	346299	593710
921	346630	593256
922	346970	592819
923	347303	592371
924	347647	591940
925	348010	591542
926	348346	591099
927	348798	590851
928	349195	590512
929	349566	590128
930	349941	589751
931	350295	589338
932	350630	588894
933	350968	588454
934	351288	587986
935	351665	587611
936	352011	587187
937	352427	586878
938	352813	586519
939	353176	586122
940	353513	585682
941	353851	585245
942	354232	584877
943	354628	584535
944	354989	584136
945	355330	583703
946	355690	583302
947	356058	582914
948	356418	582513
949	356804	582154
950	357229	581859
951	357639	581539
952	358020	581173
953	358378	580769
954	358776	580428
955	359096	579962
956	359514	579656
957	359882	579267
958	360255	578888
959	360585	578438
960	360934	578020
961	361277	577594
962	361620	577166
963	361952	576720
964	362286	576279
965	362659	575899
966	363026	575511
967	363369	575085
968	363729	574685
969	364072	574258
970	364473	573923
971	364823	573509
972	365220	573166
973	365587	572779
974	365979	572429
975	366378	572091
976	366781	571758
977	367123	571330
978	367512	570977
979	367880	570590
980	368245	570198
981	368620	569822
982	368989	569437
983	369352	569043
984	369782	568751
985	370182	568414
986	370533	568000
987	370886	567591
988	371264	567219
989	371627	566825
990	371973	566406
991	372346	566026
992	372743	565683
993	373126	565320
994	373442	564855
995	373799	564452
996	374149	564038
997	374512	563645
998	374875	563250
999	375243	562865
1000	375633	562512
1001	375979	562093
1002	376357	561721
1003	376719	561327
1004	377126	560998
1005	377479	560591
1006	377854	560215
1007	378264	559892
1008	378691	559592
1009	379061	559209
1010	379458	558865
1011	379859	558528
1012	380187	558083
1013	380580	557734
1014	380899	557275
1015	381266	556888
1016	381592	556441
1017	381933	556017
1018	382301	555630
1019	382685	555269
1020	383058	554890
1021	383453	554543
1022	383839	554184
1023	384226	553826
1024	384620	553477
1025	384962	553055
1026	385344	552689
1027	385725	552322
1028	386084	551924
1029	386488	551591
1030	386901	551269
1031	387277	550895
1032	387650	550516
1033	387999	550104
1034	388386	549744
1035	388706	549291
1036	389046	548866
1037	389423	548494
1038	389794	548112
1039	390192	547770
1040	390569	547397
1041	390931	547003
1042	391321	546649
1043	391732	546324
1044	392080	545911
1045	392433	545504
1046	392814	545138
1047	393215	544798
1048	393607	544447
1049	394005	544103
1050	394375	543719
1051	394734	543322
1052	395107	542944
1053	395447	542520
1054	395814	542134
1055	396182	541750
1056	396515	541316
1057	396869	540913
1058	397195	540471
1059	397555	540075
1060	397871	539620
1061	398203	539187
1062	398530	538747
1063	398861	538313
1064	399216	537910
1065	399572	537511
1066	399960	537154
1067	400344	536790
1068	400727	536427
1069	401062	535999
1070	401449	535641
1071	401784	535213
1072	402173	534857
1073	402669	534643
1074	403018	534234
1075	403373	533832
1076	403748	533457
1077	404091	533041
1078	404450	532644
1079	404789	532223
1080	405126	531799
1081	405504	531427
1082	405863	531032
1083	406269	530698
1084	406632	530309
1085	406978	529895
1086	407298	529450
1087	407639	529032
1088	407970	528600
1089	408320	528194
1090	408667	527784
1091	409012	527371
1092	409430	527052
1093	409839	526722
1094	410241	526383
1095	410614	526006
1096	411003	525649
1097	411372	525268
1098	411725	524865
1099	412060	524441
1100	412423	524050
1101	412772	523643
1102	413166	523294
